Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset
2019,National Championship,1,Virginia,85,3,Texas Tech,77,TEAM_2,2,8,TEAM_1,True
2019,Final Four,1,Virginia,63,4,Auburn,62,TEAM_2,3,1,TEAM_1,True
2019,Final Four,2,Michigan State,51,3,Texas Tech,61,TEAM_2,1,-10,TEAM_2,False
2019,Elite Eight,1,Gonzaga,69,3,Texas Tech,75,TEAM_2,2,-6,TEAM_2,False
2019,Elite Eight,1,Virginia,80,3,Purdue,75,TEAM_2,2,5,TEAM_1,True
2019,Elite Eight,1,Duke,67,2,Michigan State,68,TEAM_2,1,-1,TEAM_2,False
2019,Elite Eight,5,Auburn,77,2,Kentucky,71,TEAM_1,-3,6,TEAM_1,False
2019,Sweet 16,3,Purdue,99,2,Tennessee,94,TEAM_1,-1,5,TEAM_1,False
2019,Sweet 16,1,Gonzaga,72,4,Florida State,58,TEAM_2,3,14,TEAM_1,True
2019,Sweet 16,3,Texas Tech,63,2,Michigan,44,TEAM_1,-1,19,TEAM_1,False
2019,Sweet 16,3,LSU,63,2,Michigan State,80,TEAM_1,-1,-17,TEAM_2,True
2019,Sweet 16,1,North Carolina,80,5,Auburn,97,TEAM_2,4,-17,TEAM_2,False
2019,Sweet 16,1,Duke,75,4,Virginia Tech,73,TEAM_2,3,2,TEAM_1,True
2019,Sweet 16,1,Virginia,53,12,Oregon,49,TEAM_2,11,4,TEAM_1,True
2019,Sweet 16,3,Houston,58,2,Kentucky,62,TEAM_1,-1,-4,TEAM_2,True
2019,Second Round,3,LSU,69,6,Maryland,67,TEAM_2,3,2,TEAM_1,True
2019,Second Round,10,Minnesota,50,2,Michigan State,70,TEAM_1,-8,-20,TEAM_2,True
2019,Second Round,12,Murray St.,62,4,Florida State,90,TEAM_1,-8,-28,TEAM_2,True
2019,Second Round,5,Auburn,89,4,Kansas,75,TEAM_1,-1,14,TEAM_1,False
2019,Second Round,2,Michigan,64,10,Florida,49,TEAM_2,8,15,TEAM_1,True
2019,Second Round,7,Wofford,56,2,Kentucky,62,TEAM_1,-5,-6,TEAM_2,True
2019,Second Round,3,Purdue,87,6,Villanova,61,TEAM_2,3,26,TEAM_1,True
2019,Second Round,1,Gonzaga,83,9,Baylor,71,TEAM_2,8,12,TEAM_1,True
2019,Second Round,10,Iowa,77,2,Tennessee,83,TEAM_1,-8,-6,TEAM_2,True
2019,Second Round,1,North Carolina,81,9,Washington,59,TEAM_2,8,22,TEAM_1,True
2019,Second Round,1,Duke,77,9,Central Florida,76,TEAM_2,8,1,TEAM_1,True
2019,Second Round,3,Texas Tech,78,6,Buffalo,58,TEAM_2,3,20,TEAM_1,True
2019,Second Round,4,Virginia Tech,67,12,Liberty,58,TEAM_2,8,9,TEAM_1,True
2019,Second Round,1,Virginia,63,9,Oklahoma,51,TEAM_2,8,12,TEAM_1,True
2019,Second Round,3,Houston,74,11,Ohio State,59,TEAM_2,8,15,TEAM_1,True
2019,Second Round,13,UC Irvine,73,12,Oregon,54,TEAM_1,-1,19,TEAM_1,False
2019,First Round,8,Virginia Commonwealth,58,9,Central Florida,73,TEAM_2,1,-15,TEAM_2,False
2019,First Round,5,Mississippi State,76,12,Liberty,80,TEAM_2,7,-4,TEAM_2,False
2019,First Round,4,Virginia Tech,66,13,St. Louis,52,TEAM_2,9,14,TEAM_1,True
2019,First Round,3,LSU,79,14,Yale,74,TEAM_2,11,5,TEAM_1,True
2019,First Round,1,Virginia,71,16,Gardner-Webb,56,TEAM_2,15,15,TEAM_1,True
2019,First Round,7,Louisville,76,10,Minnesota,86,TEAM_2,3,-10,TEAM_2,False
2019,First Round,2,Michigan State,76,15,Bradley,65,TEAM_2,13,11,TEAM_1,True
2019,First Round,8,Mississippi,72,9,Oklahoma,95,TEAM_2,1,-23,TEAM_2,False
2019,First Round,1,North Carolina,88,16,Iona,73,TEAM_2,15,15,TEAM_1,True
2019,First Round,8,Utah State,61,9,Washington,78,TEAM_2,1,-17,TEAM_2,False
2019,First Round,5,Wisconsin,54,12,Oregon,72,TEAM_2,7,-18,TEAM_2,False
2019,First Round,5,Auburn,78,12,New Mexico State,77,TEAM_2,7,1,TEAM_1,True
2019,First Round,4,Kansas,87,13,Northeastern,53,TEAM_2,9,34,TEAM_1,True
2019,First Round,6,Iowa State,59,11,Ohio State,62,TEAM_2,5,-3,TEAM_2,False
2019,First Round,4,Kansas State,64,13,UC Irvine,70,TEAM_2,9,-6,TEAM_2,False
2019,First Round,3,Houston,84,14,Georgia State,55,TEAM_2,11,29,TEAM_1,True
2019,First Round,7,Wofford,84,10,Seton Hall,68,TEAM_2,3,16,TEAM_1,True
2019,First Round,2,Kentucky,79,15,Abilene Christian,44,TEAM_2,13,35,TEAM_1,True
2019,First Round,6,Villanova,61,11,St. Mary's (Cal.),57,TEAM_2,5,4,TEAM_1,True
2019,First Round,3,Purdue,61,14,Old Dominion,48,TEAM_2,11,13,TEAM_1,True
2019,First Round,7,Cincinnati,72,10,Iowa,79,TEAM_2,3,-7,TEAM_2,False
2019,First Round,2,Tennessee,77,15,Colgate,70,TEAM_2,13,7,TEAM_1,True
2019,First Round,2,Michigan,74,15,Montana,55,TEAM_2,13,19,TEAM_1,True
2019,First Round,7,Nevada,61,10,Florida,70,TEAM_2,3,-9,TEAM_2,False
2019,First Round,8,Syracuse,69,9,Baylor,78,TEAM_2,1,-9,TEAM_2,False
2019,First Round,3,Texas Tech,72,14,Northern Kentucky,57,TEAM_2,11,15,TEAM_1,True
2019,First Round,5,Marquette,64,12,Murray St.,83,TEAM_2,7,-19,TEAM_2,False
2019,First Round,4,Florida State,76,13,Vermont,69,TEAM_2,9,7,TEAM_1,True
2019,First Round,1,Gonzaga,87,16,Fairleigh Dickinson,49,TEAM_2,15,38,TEAM_1,True
2019,First Round,11,Belmont,77,6,Maryland,79,TEAM_1,-5,-2,TEAM_2,True
2019,First Round,1,Duke,85,16,North Dakota State,62,TEAM_2,15,23,TEAM_1,True
2019,First Round,6,Buffalo,91,11,Arizona State,74,TEAM_2,5,17,TEAM_1,True
2019,Play-In,16,Fairleigh Dickinson,82,16,Prairie View,76,EQUAL,0,6,TEAM_1,True
2019,Play-In,11,Belmont,81,11,Temple,70,EQUAL,0,11,TEAM_1,True
2019,Play-In,16,North Carolina Central,74,16,North Dakota State,78,EQUAL,0,-4,TEAM_2,True
2019,Play-In,11,Arizona State,74,11,St. John's,65,EQUAL,0,9,TEAM_1,True
2018,National Championship,1,Villanova,79,3,Michigan,62,TEAM_2,2,17,TEAM_1,True
2018,Final Four,11,Loyola (Ill.),57,3,Michigan,69,TEAM_1,-8,-12,TEAM_2,True
2018,Final Four,1,Villanova,95,1,Kansas,79,EQUAL,0,16,TEAM_1,True
2018,Elite Eight,1,Villanova,71,3,Texas Tech,59,TEAM_2,2,12,TEAM_1,True
2018,Elite Eight,1,Kansas,85,2,Duke,81,TEAM_2,1,4,TEAM_1,True
2018,Elite Eight,9,Kansas State,62,11,Loyola (Ill.),78,TEAM_2,2,-16,TEAM_2,False
2018,Elite Eight,9,Florida State,54,3,Michigan,58,TEAM_1,-6,-4,TEAM_2,True
2018,Sweet 16,11,Loyola (Ill.),69,7,Nevada,68,TEAM_1,-4,1,TEAM_1,False
2018,Sweet 16,9,Kansas State,61,5,Kentucky,58,TEAM_1,-4,3,TEAM_1,False
2018,Sweet 16,3,Michigan,99,7,Texas A&M,72,TEAM_2,4,27,TEAM_1,True
2018,Sweet 16,9,Florida State,75,4,Gonzaga,60,TEAM_1,-5,15,TEAM_1,False
2018,Sweet 16,1,Kansas,80,5,Clemson,76,TEAM_2,4,4,TEAM_1,True
2018,Sweet 16,11,Syracuse,65,2,Duke,69,TEAM_1,-9,-4,TEAM_2,True
2018,Sweet 16,1,Villanova,90,5,West Virginia,78,TEAM_2,4,12,TEAM_1,True
2018,Sweet 16,3,Texas Tech,78,2,Purdue,65,TEAM_1,-1,13,TEAM_1,False
2018,Second Round,11,Loyola (Ill.),63,3,Tennessee,62,TEAM_1,-8,1,TEAM_1,False
2018,Second Round,5,Ohio State,84,4,Gonzaga,90,TEAM_1,-1,-6,TEAM_2,True
2018,Second Round,1,Kansas,83,8,Seton Hall,79,TEAM_2,7,4,TEAM_1,True
2018,Second Round,7,Rhode Island,62,2,Duke,87,TEAM_1,-5,-25,TEAM_2,True
2018,Second Round,5,Kentucky,95,13,Buffalo,75,TEAM_2,8,20,TEAM_1,True
2018,Second Round,6,Houston,63,3,Michigan,64,TEAM_1,-3,-1,TEAM_2,True
2018,Second Round,1,Villanova,81,9,Alabama,58,TEAM_2,8,23,TEAM_1,True
2018,Second Round,6,Florida,66,3,Texas Tech,69,TEAM_1,-3,-3,TEAM_2,True
2018,Second Round,10,Butler,73,2,Purdue,76,TEAM_1,-8,-3,TEAM_2,True
2018,Second Round,11,Syracuse,55,3,Michigan State,53,TEAM_1,-8,2,TEAM_1,False
2018,Second Round,7,Texas A&M,86,2,North Carolina,65,TEAM_1,-5,21,TEAM_1,False
2018,Second Round,7,Nevada,75,2,Cincinnati,73,TEAM_1,-5,2,TEAM_1,False
2018,Second Round,5,Clemson,84,4,Auburn,53,TEAM_1,-1,31,TEAM_1,False
2018,Second Round,16,Maryland-Baltimore County,43,9,Kansas State,50,TEAM_1,-7,-7,TEAM_2,True
2018,Second Round,9,Florida State,75,1,Xavier,70,TEAM_1,-8,5,TEAM_1,False
2018,Second Round,13,Marshall,71,5,West Virginia,94,TEAM_1,-8,-23,TEAM_2,True
2018,First Round,1,Virginia,54,16,Maryland-Baltimore County,74,TEAM_2,15,-20,TEAM_2,False
2018,First Round,8,Creighton,59,9,Kansas State,69,TEAM_2,1,-10,TEAM_2,False
2018,First Round,5,Kentucky,78,12,Davidson,73,TEAM_2,7,5,TEAM_1,True
2018,First Round,4,Arizona,68,13,Buffalo,89,TEAM_2,9,-21,TEAM_2,False
2018,First Round,6,Miami (Fla.),62,11,Loyola (Ill.),64,TEAM_2,5,-2,TEAM_2,False
2018,First Round,3,Tennessee,73,14,Wright State,47,TEAM_2,11,26,TEAM_1,True
2018,First Round,7,Nevada,87,10,Texas,83,TEAM_2,3,4,TEAM_1,True
2018,First Round,2,Cincinnati,68,15,Georgia State,53,TEAM_2,13,15,TEAM_1,True
2018,First Round,1,Xavier,102,16,Texas Southern,83,TEAM_2,15,19,TEAM_1,True
2018,First Round,8,Missouri,54,9,Florida State,67,TEAM_2,1,-13,TEAM_2,False
2018,First Round,5,Ohio State,81,12,South Dakota State,73,TEAM_2,7,8,TEAM_1,True
2018,First Round,4,Gonzaga,68,13,UNC Greensboro,64,TEAM_2,9,4,TEAM_1,True
2018,First Round,6,Houston,67,11,San Diego State,65,TEAM_2,5,2,TEAM_1,True
2018,First Round,3,Michigan,61,14,Montana,47,TEAM_2,11,14,TEAM_1,True
2018,First Round,7,Texas A&M,73,10,Providence,69,TEAM_2,3,4,TEAM_1,True
2018,First Round,2,North Carolina,84,15,Lipscomb,66,TEAM_2,13,18,TEAM_1,True
2018,First Round,1,Villanova,87,16,Radford,61,TEAM_2,15,26,TEAM_1,True
2018,First Round,8,Virginia Tech,83,9,Alabama,86,TEAM_2,1,-3,TEAM_2,False
2018,First Round,5,West Virginia,85,12,Murray St.,68,TEAM_2,7,17,TEAM_1,True
2018,First Round,4,Wichita State,75,13,Marshall,81,TEAM_2,9,-6,TEAM_2,False
2018,First Round,6,Florida,77,11,St. Bonaventure,62,TEAM_2,5,15,TEAM_1,True
2018,First Round,3,Texas Tech,70,14,Stephen F. Austin,60,TEAM_2,11,10,TEAM_1,True
2018,First Round,7,Arkansas,62,10,Butler,79,TEAM_2,3,-17,TEAM_2,False
2018,First Round,2,Purdue,74,15,Cal State Fullerton,48,TEAM_2,13,26,TEAM_1,True
2018,First Round,1,Kansas,76,16,Penn,60,TEAM_2,15,16,TEAM_1,True
2018,First Round,8,Seton Hall,94,9,North Carolina State,83,TEAM_2,1,11,TEAM_1,True
2018,First Round,5,Clemson,79,12,New Mexico State,68,TEAM_2,7,11,TEAM_1,True
2018,First Round,4,Auburn,62,13,College of Charleston,58,TEAM_2,9,4,TEAM_1,True
2018,First Round,6,TCU,57,11,Syracuse,52,TEAM_2,5,5,TEAM_1,True
2018,First Round,3,Michigan State,82,14,Bucknell,78,TEAM_2,11,4,TEAM_1,True
2018,First Round,7,Rhode Island,83,10,Oklahoma,78,TEAM_2,3,5,TEAM_1,True
2018,First Round,2,Duke,89,15,Iona,67,TEAM_2,13,22,TEAM_1,True
2018,Play-In,16,North Carolina Central,46,16,Texas Southern,64,EQUAL,0,-18,TEAM_2,True
2018,Play-In,16,Long Island,61,16,Radford,71,EQUAL,0,-10,TEAM_2,True
2018,Play-In,11,St. Bonaventure,65,11,UCLA,58,EQUAL,0,7,TEAM_1,True
2018,Play-In,11,Arizona State,56,11,Syracuse,60,EQUAL,0,-4,TEAM_2,True
2017,National Championship,1,Gonzaga,65,1,North Carolina,71,EQUAL,0,-6,TEAM_2,True
2017,Final Four,7,South Carolina,73,1,Gonzaga,77,TEAM_1,-6,-4,TEAM_2,True
2017,Final Four,3,Oregon,76,1,North Carolina,77,TEAM_1,-2,-1,TEAM_2,True
2017,Elite Eight,1,Gonzaga,83,11,Xavier,59,TEAM_2,10,24,TEAM_1,True
2017,Elite Eight,1,Kansas,60,3,Oregon,74,TEAM_2,2,-14,TEAM_2,False
2017,Elite Eight,4,Florida,70,7,South Carolina,77,TEAM_2,3,-7,TEAM_2,False
2017,Elite Eight,1,North Carolina,75,2,Kentucky,73,TEAM_2,1,2,TEAM_1,True
