Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset,Team_conference,Team_1_conference,Year_diff,assist_percentage_diff,assists_diff,away_losses_diff,away_wins_diff,block_percentage_diff,blocks_diff,conference_losses_diff,conference_wins_diff,defensive_rebounds_diff,effective_field_goal_percentage_diff,field_goal_attempts_diff,field_goal_percentage_diff,field_goals_diff,free_throw_attempt_rate_diff,free_throw_attempts_diff,free_throw_percentage_diff,free_throws_diff,free_throws_per_field_goal_attempt_diff,games_played_diff,home_losses_diff,home_wins_diff,losses_diff,minutes_played_diff,offensive_rating_diff,offensive_rebound_percentage_diff,offensive_rebounds_diff,opp_assist_percentage_diff,opp_assists_diff,opp_block_percentage_diff,opp_blocks_diff,opp_defensive_rebounds_diff,opp_effective_field_goal_percentage_diff,opp_field_goal_attempts_diff,opp_field_goal_percentage_diff,opp_field_goals_diff,opp_free_throw_attempt_rate_diff,opp_free_throw_attempts_diff,opp_free_throw_percentage_diff,opp_free_throws_diff,opp_free_throws_per_field_goal_attempt_diff,opp_offensive_rebound_percentage_diff,opp_offensive_rebounds_diff,opp_personal_fouls_diff,opp_points_diff,opp_steal_percentage_diff,opp_steals_diff,opp_three_point_attempt_rate_diff,opp_three_point_field_goal_attempts_diff,opp_three_point_field_goal_percentage_diff,opp_three_point_field_goals_diff,opp_two_point_field_goal_attempts_diff,opp_two_point_field_goal_percentage_diff,opp_two_point_field_goals_diff,opp_total_rebound_percentage_diff,opp_total_rebounds_diff,opp_true_shooting_percentage_diff,opp_turnover_percentage_diff,opp_turnovers_diff,pace_diff,personal_fouls_diff,points_diff,simple_rating_system_diff,steal_percentage_diff,steals_diff,strength_of_schedule_diff,three_point_attempt_rate_diff,three_point_field_goal_attempts_diff,three_point_field_goal_percentage_diff,three_point_field_goals_diff,two_point_field_goal_attempts_diff,two_point_field_goal_percentage_diff,two_point_field_goals_diff,total_rebound_percentage_diff,total_rebounds_diff,true_shooting_percentage_diff,turnover_percentage_diff,turnovers_diff,win_percentage_diff,wins_diff
2019,National Championship,1,Virginia,85,3,Texas Tech,77,TEAM_2,2,8,TEAM_1,True,acc,big-12,0.0,3.6000000000000014,26.0,-2.0,4.0,-2.4000000000000004,-37.0,-2.0,2.0,2.0,0.017000000000000015,-54.0,0.0050000000000000044,-16.0,-0.038000000000000034,-96.0,0.01200000000000001,-63.0,-0.024999999999999994,0.0,0.0,-2.0,-4.0,5.0,9.399999999999991,3.3999999999999986,27.0,-6.100000000000001,-38.0,1.3000000000000007,9.0,-72.0,0.017000000000000015,-32.0,0.015000000000000013,18.0,-0.10399999999999998,-219.0,-0.027999999999999914,-167.0,-0.08000000000000002,-2.8000000000000007,-50.0,-114.0,-129.0,-1.0999999999999996,-48.0,0.021999999999999964,32.0,-0.009000000000000008,2.0,-64.0,0.038000000000000034,16.0,-3.1000000000000014,-122.0,0.0,-4.4,-179.0,-6.799999999999997,-121.0,-51.0,2.6700000000000017,-1.6999999999999993,-67.0,0.620000000000001,0.03500000000000003,54.0,0.030000000000000027,44.0,-108.0,-0.0030000000000000027,-60.0,3.1000000000000014,29.0,0.013000000000000012,-3.0,-115.0,0.1050000000000001,4.0
2019,Final Four,1,Virginia,63,4,Auburn,62,TEAM_2,3,1,TEAM_1,True,acc,sec,0.0,3.799999999999997,-28.0,-5.0,6.0,-2.5999999999999996,-41.0,-5.0,5.0,72.0,0.009000000000000008,-383.0,0.023999999999999966,-123.0,-0.02100000000000002,-162.0,0.03300000000000003,-95.0,-0.0050000000000000044,-2.0,-1.0,0.0,-7.0,-80.0,2.200000000000003,-1.9000000000000021,-115.0,-8.800000000000004,-157.0,-3.3999999999999986,-41.0,-179.0,-0.065,-158.0,-0.05199999999999999,-171.0,-0.09599999999999997,-250.0,-0.040999999999999925,-198.0,-0.07900000000000001,-7.0,-101.0,-98.0,-618.0,0.0,-37.0,-0.010000000000000009,-89.0,-0.055999999999999994,-78.0,-69.0,-0.04999999999999999,-93.0,-4.699999999999996,-280.0,-0.07000000000000006,-5.9,-276.0,-8.400000000000006,-189.0,-474.0,4.620000000000001,-4.199999999999999,-158.0,-0.7699999999999996,-0.09899999999999998,-391.0,0.018000000000000016,-133.0,8.0,0.0040000000000000036,10.0,4.699999999999996,-43.0,0.01100000000000001,-1.5,-124.0,0.17100000000000004,5.0
2019,Final Four,2,Michigan State,51,3,Texas Tech,61,TEAM_2,1,-10,TEAM_2,False,big-ten,big-12,0.0,14.5,197.0,1.0,2.0,-1.700000000000001,19.0,0.0,2.0,183.0,0.017000000000000015,120.0,0.01100000000000001,81.0,0.007000000000000006,55.0,0.02100000000000002,56.0,0.01200000000000001,1.0,0.0,-2.0,0.0,40.0,6.199999999999989,6.900000000000002,99.0,2.3999999999999986,98.0,1.4000000000000004,23.0,-47.0,0.009000000000000008,351.0,0.01100000000000001,154.0,-0.09199999999999997,-89.0,-0.014999999999999902,-72.0,-0.068,-1.8000000000000007,31.0,-12.0,273.0,-0.09999999999999964,6.0,-0.031000000000000028,69.0,0.018000000000000016,37.0,282.0,0.0,117.0,-5.300000000000004,-16.0,-0.0040000000000000036,-6.9,-188.0,0.5,-16.0,260.0,2.1400000000000006,-3.1999999999999993,-77.0,2.8100000000000005,0.018000000000000016,85.0,0.013000000000000012,42.0,35.0,0.015000000000000013,39.0,5.300000000000004,282.0,0.018000000000000016,0.1999999999999993,36.0,0.0050000000000000044,1.0
2019,Elite Eight,1,Gonzaga,69,3,Texas Tech,75,TEAM_2,2,-6,TEAM_2,False,wcc,big-12,0.0,4.5,150.0,-2.0,3.0,-1.5,18.0,-4.0,2.0,107.0,0.05499999999999994,129.0,0.05700000000000005,187.0,0.023999999999999966,97.0,0.029000000000000026,94.0,0.028000000000000025,-1.0,-1.0,0.0,-3.0,-50.0,15.299999999999997,4.099999999999998,39.0,-8.100000000000001,-9.0,-1.2000000000000002,-10.0,-69.0,0.01200000000000001,229.0,0.019000000000000017,126.0,-0.10799999999999998,-159.0,0.0030000000000000027,-109.0,-0.07500000000000001,-1.5,9.0,-21.0,139.0,-1.5999999999999996,-36.0,-0.05400000000000005,-29.0,0.006000000000000005,-4.0,258.0,0.015000000000000013,130.0,-3.9000000000000057,-60.0,-0.0010000000000000009,-3.3000000000000007,-85.0,4.1000000000000085,-60.0,478.0,5.0,-0.1999999999999993,0.0,-4.52,-0.007000000000000006,31.0,-0.0020000000000000018,10.0,98.0,0.08599999999999997,177.0,3.9000000000000057,146.0,0.05300000000000005,-2.700000000000001,-63.0,0.07600000000000007,2.0
2019,Elite Eight,1,Virginia,80,3,Purdue,75,TEAM_2,2,5,TEAM_1,True,acc,big-ten,0.0,2.299999999999997,26.0,-5.0,4.0,0.40000000000000036,6.0,-2.0,0.0,64.0,0.016000000000000014,-89.0,0.022999999999999965,7.0,-0.008000000000000007,-43.0,0.025000000000000022,-16.0,0.0010000000000000009,2.0,1.0,0.0,-7.0,75.0,1.8999999999999915,-4.099999999999998,-79.0,-10.100000000000001,-111.0,-3.299999999999999,-32.0,-15.0,-0.04299999999999998,-2.0,-0.030999999999999972,-62.0,-0.05399999999999999,-110.0,-0.06599999999999995,-115.0,-0.05700000000000002,-1.8000000000000007,-8.0,-22.0,-289.0,0.6999999999999993,10.0,-0.007000000000000006,-14.0,-0.05300000000000005,-50.0,12.0,-0.014999999999999958,-12.0,-0.19999999999999574,-23.0,-0.052000000000000046,-0.9000000000000004,-41.0,-5.299999999999997,-83.0,-46.0,4.060000000000002,-0.09999999999999964,-9.0,-1.8399999999999999,-0.06,-164.0,0.02100000000000002,-44.0,75.0,0.010000000000000009,51.0,0.19999999999999574,-15.0,0.017000000000000015,-0.6999999999999993,-39.0,0.19900000000000007,9.0
2019,Elite Eight,1,Duke,67,2,Michigan State,68,TEAM_2,1,-1,TEAM_2,False,acc,big-ten,0.0,-14.399999999999999,-109.0,-2.0,-1.0,2.6999999999999993,52.0,0.0,-2.0,-93.0,-0.016000000000000014,188.0,-0.0020000000000000018,86.0,-0.0040000000000000036,54.0,-0.06699999999999995,-13.0,-0.024999999999999994,-1.0,1.0,0.0,-1.0,-45.0,-0.5,2.0999999999999943,81.0,-2.0,9.0,-0.40000000000000036,4.0,73.0,0.01100000000000001,37.0,0.017000000000000015,55.0,-0.03500000000000003,-75.0,0.016999999999999904,-41.0,-0.01999999999999999,3.400000000000002,37.0,-35.0,42.0,-0.40000000000000036,0.0,-0.02300000000000002,-41.0,-0.016000000000000014,-27.0,78.0,0.031000000000000028,82.0,2.3000000000000043,110.0,0.008000000000000007,3.799999999999999,142.0,5.1000000000000085,-52.0,118.0,1.9699999999999989,4.9,145.0,-0.35999999999999943,-0.0050000000000000044,59.0,-0.07,-41.0,129.0,0.03699999999999992,127.0,-2.3000000000000043,-12.0,-0.02399999999999991,-1.1999999999999993,-5.0,0.02100000000000002,0.0
2019,Elite Eight,5,Auburn,77,2,Kentucky,71,TEAM_1,-3,6,TEAM_1,False,sec,sec,0.0,0.8999999999999986,71.0,4.0,-4.0,2.1999999999999993,14.0,4.0,-4.0,-89.0,0.013000000000000012,389.0,-0.02699999999999997,119.0,-0.10699999999999998,-99.0,-0.028000000000000025,-95.0,-0.089,3.0,1.0,-2.0,3.0,125.0,2.1999999999999886,-4.799999999999997,30.0,4.300000000000004,82.0,3.8999999999999995,32.0,242.0,0.045999999999999985,19.0,0.03699999999999998,86.0,0.09099999999999997,202.0,0.0020000000000000018,144.0,0.065,6.5,87.0,-35.0,356.0,-0.5,11.0,0.04899999999999999,113.0,0.0019999999999999463,40.0,-94.0,0.07100000000000001,46.0,7.699999999999996,329.0,0.04700000000000004,5.600000000000001,234.0,1.9000000000000057,131.0,382.0,-0.5899999999999999,4.399999999999999,149.0,0.6300000000000008,0.198,597.0,0.02300000000000002,239.0,-208.0,-0.008000000000000007,-120.0,-7.699999999999996,-59.0,-0.0020000000000000018,-1.5999999999999996,0.0,-0.061000000000000054,0.0
2019,Sweet 16,3,Purdue,99,2,Tennessee,94,TEAM_1,-1,5,TEAM_1,False,big-ten,ovc,0.0,2.0,77.0,-8.0,5.0,4.699999999999999,55.0,-8.0,10.0,209.0,0.025000000000000022,230.0,0.0050000000000000044,113.0,0.022999999999999965,113.0,-0.03500000000000003,63.0,0.007000000000000006,5.0,-4.0,5.0,-9.0,210.0,8.5,2.4999999999999964,70.0,-5.700000000000003,-97.0,3.299999999999999,36.0,55.0,-0.07200000000000006,101.0,-0.067,-85.0,0.04899999999999999,126.0,0.03500000000000003,110.0,0.04500000000000001,-6.700000000000003,-23.0,105.0,-65.0,-2.1999999999999993,-35.0,0.017000000000000015,76.0,-0.03999999999999998,-5.0,25.0,-0.08300000000000007,-80.0,-5.100000000000001,32.0,-0.05499999999999994,-0.5,17.0,-5.1000000000000085,135.0,404.0,32.339999999999996,-0.9000000000000004,-3.0,16.310000000000002,0.07600000000000001,251.0,0.030000000000000027,115.0,-21.0,0.007000000000000006,-2.0,5.100000000000001,279.0,0.018999999999999906,-2.6999999999999993,-37.0,0.33499999999999996,14.0
2019,Sweet 16,1,Gonzaga,72,4,Florida State,58,TEAM_2,3,14,TEAM_1,True,wcc,ovc,0.0,4.399999999999999,279.0,-12.0,6.0,2.8000000000000007,70.0,-14.0,12.0,297.0,0.11399999999999999,455.0,0.11000000000000004,435.0,-0.009000000000000008,146.0,0.13,195.0,0.04100000000000001,6.0,-10.0,12.0,-19.0,230.0,29.799999999999997,2.0,24.0,-18.5,-140.0,-3.3,-22.0,-20.0,-0.061,352.0,-0.05199999999999999,37.0,-0.061,-26.0,-0.016000000000000014,-28.0,-0.048000000000000015,-5.699999999999999,14.0,113.0,50.0,-3.9000000000000004,-60.0,-0.017000000000000015,90.0,-0.03300000000000003,4.0,262.0,-0.067,33.0,-6.400000000000006,-6.0,-0.062000000000000055,-0.5,51.0,-1.2000000000000028,49.0,1139.0,42.55,0.5999999999999996,52.0,8.01,0.0050000000000000044,170.0,0.019000000000000017,74.0,285.0,0.15999999999999998,361.0,6.400000000000006,321.0,0.11699999999999999,-6.700000000000001,-123.0,0.634,25.0
2019,Sweet 16,3,Texas Tech,63,2,Michigan,44,TEAM_1,-1,19,TEAM_1,False,big-12,sec,0.0,-7.400000000000006,-142.0,0.0,-1.0,0.20000000000000107,-13.0,1.0,-1.0,-30.0,-0.019000000000000017,-121.0,-0.027000000000000024,-116.0,-0.0040000000000000036,-50.0,-0.02200000000000002,-53.0,-0.010000000000000009,1.0,1.0,-1.0,1.0,25.0,-9.299999999999997,-4.599999999999998,-64.0,-1.7000000000000028,-83.0,0.7000000000000002,-1.0,32.0,-0.044999999999999984,-172.0,-0.03400000000000003,-137.0,0.023999999999999966,-12.0,0.040999999999999925,23.0,0.031,-1.8999999999999986,-48.0,12.0,-319.0,0.3999999999999986,7.0,-0.0030000000000000027,-77.0,-0.04999999999999999,-68.0,-95.0,-0.02300000000000002,-69.0,1.5,-16.0,-0.029000000000000026,4.200000000000001,114.0,-1.8000000000000114,9.0,-270.0,1.2399999999999984,2.1999999999999993,57.0,-0.6300000000000008,0.03999999999999998,45.0,-0.0020000000000000018,15.0,-166.0,-0.028000000000000025,-131.0,-1.5,-94.0,-0.020000000000000018,2.1000000000000014,45.0,-0.02200000000000002,0.0
